,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,273.00,Metric Tonnes,30-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,259.00,Metric Tonnes,28-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,316.00,Metric Tonnes,27-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,234.00,Metric Tonnes,26-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,205.00,Metric Tonnes,23-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,329.00,Metric Tonnes,22-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,387.00,Metric Tonnes,21-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,300.00,Metric Tonnes,20-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,289.00,Metric Tonnes,19-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,295.00,Metric Tonnes,16-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,236.00,Metric Tonnes,15-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,202.00,Metric Tonnes,14-06-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,197.00,Metric Tonnes,13-06-2023
